Symbol,Direction,PValue,Dataset
NAP1L1,-1,1.42E-10,Discovery
MCM10,-1,1.75E-08,Discovery
RET,1,3.27E-07,Discovery
UGT1A6,1,0.005649042119,Discovery
EIF2AK2,1,5.32E-07,Discovery
COL5A1,1,3.53E-10,Discovery
PPHLN1,-1,3.06E-09,Discovery
KLHL5,1,1.90E-06,Discovery
LIG1,-1,7.88E-06,Discovery
TFPI,1,5.41E-08,Discovery
AGMAT,-1,9.09E-07,Discovery
BTBD15,-1,3.10E-06,Discovery
WDR51A,-1,1.51E-07,Discovery
IFIT1,1,3.34E-15,Discovery
SLC1A5,-1,2.38E-07,Discovery
ANGPTL4,-1,0.0176669117,Discovery
C20orf108,1,1.29E-08,Discovery
EZH2,-1,4.06E-07,Discovery
EHF,1,2.12E-07,Discovery
KPNA2,-1,4.67E-13,Discovery
PDZK1,1,3.14E-08,Discovery
DNTTIP2,-1,6.27E-10,Discovery
IRF1,1,3.53E-10,Discovery
ACAT2,-1,3.10E-08,Discovery
ADM,1,0.0005306819577,Discovery
NOLA1,1,7.06E-07,Discovery
FYCO1,1,1.22E-09,Discovery
GTPBP9,-1,2.33E-11,Discovery
SHCBP1,-1,1.91E-09,Discovery
RUNDC2B,-1,3.39E-10,Discovery
CDCA8,-1,4.62E-08,Discovery
BLM,-1,1.25E-08,Discovery
LOC90624,-1,0.0002108056981,Discovery
PEX11G,1,1.15E-06,Discovery
RPL41,-1,6.22E-09,Discovery
MCL1,1,0.0001044337843,Discovery
BIRC5,-1,1.38E-05,Discovery
EED,-1,4.62E-10,Discovery
CDC2,-1,1.29E-08,Discovery
ANKRA2,1,2.40E-07,Discovery
FBXO5,-1,4.95E-07,Discovery
MYEOV,1,0.001475501673,Discovery
LOC283932,1,1.66E-07,Discovery
TMEM97,-1,6.14E-08,Discovery
CDC25A,-1,6.27E-08,Discovery
YPEL5,1,3.12E-08,Discovery
CELSR2,1,8.73E-07,Discovery
UBE2T,-1,7.67E-11,Discovery
TIMP1,1,2.43E-08,Discovery
CLEC2D,-1,9.68E-12,Discovery
ANXA2,1,1.58E-06,Discovery
MXD3,-1,1.44E-07,Discovery
LCMT1,1,2.92E-09,Discovery
DCDC2,1,1.54E-09,Discovery
MPHOSPH1,-1,0.0001862323187,Discovery
