Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
PXMP4,2,TRUE,3.488694138,0.0004853862066,0.006971845285
RBFA,2,TRUE,-4.843088697,1.28E-06,6.72E-05
TBL1X,2,TRUE,-3.926589817,8.62E-05,0.001871353296
POLA1,2,TRUE,-6.156314064,7.45E-10,1.16E-07
NAA10,2,TRUE,-2.878386499,0.003997150881,0.03563405618
SMARCA1,2,TRUE,4.723981025,2.31E-06,0.0001070470964
PORCN,2,TRUE,3.090863477,0.001995753725,0.02091530258
SLC25A15,2,TRUE,-2.782398574,0.005395872818,0.04482633937
DHODH,2,TRUE,-4.519811114,6.19E-06,0.0002448007556
EEF2K,3,TRUE,-3.661287949,0.0002509505187,0.004179782107
MYEF2,2,TRUE,3.866016471,0.0001106274698,0.002255524097
SH2D4A,2,TRUE,-3.528531559,0.0004178721167,0.006229073851
TNFRSF10A,2,TRUE,8.801401464,1.35E-18,1.02E-15
FCGRT,2,TRUE,5.639227142,1.71E-08,1.67E-06
TIMM44,2,TRUE,-2.870411621,0.004099377752,0.0363173029
BBC3,4,TRUE,3.360331833,0.0007784890774,0.01013781648
GRWD1,2,TRUE,-2.740529323,0.006134030829,0.04934650116
CAV1,3,TRUE,-3.757197392,0.0001718269578,0.003188600152
HIBADH,2,TRUE,-3.119836046,0.001809517276,0.01931238716
EIF3B,2,TRUE,-2.801745233,0.00508269946,0.04285812831
POLD2,2,TRUE,-4.101483341,4.11E-05,0.001061592327
TGFBR1,2,TRUE,-3.477758455,0.0005056253355,0.007193055302
PHYH,2,TRUE,3.871829337,0.0001080215779,0.002225767191
MTPAP,2,TRUE,-2.973527184,0.002943983281,0.02808766723
ALDOC,2,TRUE,-2.841807246,0.004485860422,0.03876427042
AREG,2,TRUE,12.50258321,7.23E-36,4.62E-32
LPXN,2,TRUE,5.023973813,5.06E-07,3.06E-05
TSPAN11,2,TRUE,3.70069493,0.0002150098402,0.003755680964
GLI1,2,TRUE,-3.450767653,0.000558994584,0.007779036831
